url,strategy,finalUrl,fetchedAt,performance,accessibility,bestPractices,seo,fcpMs,lcpMs,speedIndexMs,totalBlockingTimeMs,cls,interactiveMs,fcp,lcp,speedIndex,totalBlockingTime,clsDisplay,status,error
https://b2bindustrial.in/about,mobile,https://b2bindustrial.in/about,2026-07-14T06:23:57.123Z,98,98,100,100,902,2264,2381,0,0,2265,0.9 s,2.3 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/about,desktop,https://b2bindustrial.in/about,2026-07-14T06:24:12.050Z,100,98,100,100,262,481,1057,0,0,481,0.3 s,0.5 s,1.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,mobile,https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,2026-07-14T06:24:36.445Z,100,96,100,100,902,1215,2030,0,0,1215,0.9 s,1.2 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,desktop,https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,2026-07-14T06:24:51.565Z,99,95,100,100,242,335,1263,0,0.002362586686856879,335,0.2 s,0.3 s,1.3 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,mobile,https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,2026-07-14T06:25:08.281Z,100,94,100,100,901,1211,2388,0,0,1211,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,desktop,https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,2026-07-14T06:25:22.766Z,100,93,100,100,242,303,952,0,0.002362586686856879,303,0.2 s,0.3 s,1.0 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,mobile,https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,2026-07-14T06:25:49.417Z,100,96,100,100,901,1211,2227,0,0,1211,0.9 s,1.2 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,desktop,https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,2026-07-14T06:26:05.176Z,100,95,100,100,241,290,946,0,0.002362586686856879,290,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/bee-energy-audit-process,mobile,https://b2bindustrial.in/blog/bee-energy-audit-process,2026-07-14T06:26:19.148Z,100,96,100,100,901,901,1942,0,0,901,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/bee-energy-audit-process,desktop,https://b2bindustrial.in/blog/bee-energy-audit-process,2026-07-14T06:26:34.701Z,100,95,100,100,241,281,818,0,0.002362586686856879,281,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,mobile,https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,2026-07-14T06:26:49.689Z,100,94,100,100,901,901,2163,0,0,901,0.9 s,0.9 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,desktop,https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,2026-07-14T06:27:02.725Z,100,93,100,100,241,251,795,0,0.002362586686856879,251,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,mobile,https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,2026-07-14T06:27:17.855Z,100,96,100,100,901,1210,1993,0,0,1210,0.9 s,1.2 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,desktop,https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,2026-07-14T06:27:32.448Z,100,95,100,100,260,260,820,0,0,260,0.3 s,0.3 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/blog/digital-twins-energy-efficiency,mobile,https://b2bindustrial.in/blog/digital-twins-energy-efficiency,2026-07-14T06:27:48.139Z,100,96,100,100,902,1221,2262,0,0,1221,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/blog/digital-twins-energy-efficiency,desktop,https://b2bindustrial.in/blog/digital-twins-energy-efficiency,2026-07-14T06:28:02.172Z,100,95,100,100,242,291,791,0,0.002362586686856879,291,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/electrical-safety-audit-checklist,mobile,https://b2bindustrial.in/blog/electrical-safety-audit-checklist,2026-07-14T06:28:16.444Z,100,96,100,100,901,1221,2365,0,0,1221,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/electrical-safety-audit-checklist,desktop,https://b2bindustrial.in/blog/electrical-safety-audit-checklist,2026-07-14T06:28:39.535Z,99,95,100,100,470,470,1357,0,0,470,0.5 s,0.5 s,1.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/electrical-thermography-importance,mobile,https://b2bindustrial.in/blog/electrical-thermography-importance,2026-07-14T06:29:09.008Z,100,94,100,100,902,1219,2254,0,0,1219,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/blog/electrical-thermography-importance,desktop,https://b2bindustrial.in/blog/electrical-thermography-importance,2026-07-14T06:29:24.009Z,100,93,100,100,242,251,808,0,0.002362586686856879,251,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/energy-audit-cost-india,mobile,https://b2bindustrial.in/blog/energy-audit-cost-india,2026-07-14T06:29:38.378Z,100,96,100,100,901,1201,2134,0,0,1201,0.9 s,1.2 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/energy-audit-cost-india,desktop,https://b2bindustrial.in/blog/energy-audit-cost-india,2026-07-14T06:29:51.569Z,100,95,100,100,258,258,814,0,0,258,0.3 s,0.3 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/blog/environmental-compliances-guide,mobile,https://b2bindustrial.in/blog/environmental-compliances-guide,2026-07-14T06:30:05.178Z,100,94,100,100,901,1212,2325,0,0,1212,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/blog/environmental-compliances-guide,desktop,https://b2bindustrial.in/blog/environmental-compliances-guide,2026-07-14T06:30:20.602Z,100,93,100,100,241,256,836,0,0.002362586686856879,256,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/esg-compliance-industrial-sites,mobile,https://b2bindustrial.in/blog/esg-compliance-industrial-sites,2026-07-14T06:30:36.427Z,100,96,100,100,902,902,1988,0,0,902,0.9 s,0.9 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/esg-compliance-industrial-sites,desktop,https://b2bindustrial.in/blog/esg-compliance-industrial-sites,2026-07-14T06:30:50.317Z,100,95,100,100,248,309,905,0,0.002362586686856879,309,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,mobile,https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,2026-07-14T06:31:17.623Z,100,94,100,100,901,901,1884,0,0,901,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,desktop,https://b2bindustrial.in/blog/fire-safety-compliance-factory-act,2026-07-14T06:31:31.745Z,100,93,100,100,266,306,1106,0,0,306,0.3 s,0.3 s,1.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/hvac-maintenance-best-practices,mobile,https://b2bindustrial.in/blog/hvac-maintenance-best-practices,2026-07-14T06:31:47.053Z,100,94,100,100,918,1218,1884,0,0,1218,0.9 s,1.2 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/hvac-maintenance-best-practices,desktop,https://b2bindustrial.in/blog/hvac-maintenance-best-practices,2026-07-14T06:32:00.097Z,100,93,100,100,241,292,909,0,0.002362586686856879,292,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/,mobile,https://b2bindustrial.in/blog/,2026-07-14T06:32:15.158Z,100,100,100,100,902,902,2202,0,0,902,0.9 s,0.9 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/blog/,desktop,https://b2bindustrial.in/blog/,2026-07-14T06:32:31.346Z,100,100,100,100,241,271,810,0,0.002362586686856879,272,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/industrial-water-risk-management,mobile,https://b2bindustrial.in/blog/industrial-water-risk-management,2026-07-14T06:32:46.502Z,100,96,100,100,901,909,1943,0,0,909,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/industrial-water-risk-management,desktop,https://b2bindustrial.in/blog/industrial-water-risk-management,2026-07-14T06:33:00.798Z,98,95,100,100,241,343,1633,0,0.002362586686856879,343,0.2 s,0.3 s,1.6 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/industry-5-human-centric-safety,mobile,https://b2bindustrial.in/blog/industry-5-human-centric-safety,2026-07-14T06:33:16.410Z,100,96,100,100,902,913,2055,0,0,913,0.9 s,0.9 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/industry-5-human-centric-safety,desktop,https://b2bindustrial.in/blog/industry-5-human-centric-safety,2026-07-14T06:33:31.641Z,100,95,100,100,242,242,856,0,0.002362586686856879,242,0.2 s,0.2 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/lightning-protection-systems,mobile,https://b2bindustrial.in/blog/lightning-protection-systems,2026-07-14T06:33:45.256Z,100,94,100,100,902,1052,1952,0,0,1052,0.9 s,1.1 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/lightning-protection-systems,desktop,https://b2bindustrial.in/blog/lightning-protection-systems,2026-07-14T06:33:58.346Z,100,93,100,100,241,287,851,0,0.002362586686856879,287,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/smart-factory-readiness-india,mobile,https://b2bindustrial.in/blog/smart-factory-readiness-india,2026-07-14T06:34:10.324Z,100,96,100,100,901,901,1910,0,0,901,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/smart-factory-readiness-india,desktop,https://b2bindustrial.in/blog/smart-factory-readiness-india,2026-07-14T06:34:22.392Z,100,95,100,100,242,282,740,0,0.002362586686856879,282,0.2 s,0.3 s,0.7 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/supply-chain-resilience-industrial-operations,mobile,https://b2bindustrial.in/blog/supply-chain-resilience-industrial-operations,2026-07-14T06:34:35.232Z,100,96,100,100,925,1225,2356,0,0,1225,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/supply-chain-resilience-industrial-operations,desktop,https://b2bindustrial.in/blog/supply-chain-resilience-industrial-operations,2026-07-14T06:34:49.357Z,100,95,100,100,241,281,789,0,0.002362586686856879,281,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/thermal-imaging-fire-risk-prevention,mobile,https://b2bindustrial.in/blog/thermal-imaging-fire-risk-prevention,2026-07-14T06:35:03.080Z,100,96,100,100,918,1218,2033,0,0,1218,0.9 s,1.2 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/thermal-imaging-fire-risk-prevention,desktop,https://b2bindustrial.in/blog/thermal-imaging-fire-risk-prevention,2026-07-14T06:35:16.564Z,100,95,100,100,241,251,777,0,0.002362586686856879,251,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/case-studies/cement-plant-energy-audit,mobile,https://b2bindustrial.in/case-studies/cement-plant-energy-audit,2026-07-14T06:35:30.444Z,99,94,100,100,901,2101,2611,0,0,2101,0.9 s,2.1 s,2.6 s,0 ms,0,success,
https://b2bindustrial.in/case-studies/cement-plant-energy-audit,desktop,https://b2bindustrial.in/case-studies/cement-plant-energy-audit,2026-07-14T06:35:43.671Z,100,94,100,100,241,244,795,0,0.002362586686856879,244,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/case-studies/textile-industry-energy-audit,mobile,https://b2bindustrial.in/case-studies/textile-industry-energy-audit,2026-07-14T06:36:00.723Z,99,94,100,100,901,1959,2337,0,0,1959,0.9 s,2.0 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/case-studies/textile-industry-energy-audit,desktop,https://b2bindustrial.in/case-studies/textile-industry-energy-audit,2026-07-14T06:36:17.119Z,99,94,100,100,242,446,1169,0,0.002362586686856879,446,0.2 s,0.4 s,1.2 s,0 ms,0.002,success,
https://b2bindustrial.in/clients,mobile,https://b2bindustrial.in/clients,2026-07-14T06:36:32.747Z,99,98,92,100,1531,1531,2114,0,0,1531,1.5 s,1.5 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/clients,desktop,https://b2bindustrial.in/clients,2026-07-14T06:36:48.727Z,100,98,92,100,431,431,824,0,0.002362586686856879,431,0.4 s,0.4 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/contact,mobile,https://b2bindustrial.in/contact,2026-07-14T06:37:05.946Z,100,98,100,100,901,1224,2165,0,0,1224,0.9 s,1.2 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/contact,desktop,https://b2bindustrial.in/contact,2026-07-14T06:37:22.498Z,100,98,100,100,241,304,914,0,0.002362586686856879,304,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/careers,mobile,https://b2bindustrial.in/careers,2026-07-14T06:37:37.934Z,100,100,100,100,902,1211,2315,0,0,1211,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/careers,desktop,https://b2bindustrial.in/careers,2026-07-14T06:37:51.589Z,100,100,100,100,241,329,818,0,0.00003906657319547073,329,0.2 s,0.3 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/faq,mobile,https://b2bindustrial.in/faq,2026-07-14T06:38:05.832Z,100,98,100,100,1076,1076,2063,0,0,1076,1.1 s,1.1 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/faq,desktop,https://b2bindustrial.in/faq,2026-07-14T06:38:20.981Z,100,98,100,100,241,296,899,0,0.002362586686856879,296,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/,mobile,https://b2bindustrial.in/,2026-07-14T06:38:36.700Z,100,100,100,100,903,1360,2260,0,0,1360,0.9 s,1.4 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/,desktop,https://b2bindustrial.in/,2026-07-14T06:38:53.203Z,100,100,100,100,316,323,866,0,0,323,0.3 s,0.3 s,0.9 s,0 ms,0,success,
https://b2bindustrial.in/industries/commercial-buildings,mobile,https://b2bindustrial.in/industries/commercial-buildings,2026-07-14T06:39:09.284Z,97,100,100,100,921,1674,4301,0,0,1674,0.9 s,1.7 s,4.3 s,0 ms,0,success,
https://b2bindustrial.in/industries/commercial-buildings,desktop,https://b2bindustrial.in/industries/commercial-buildings,2026-07-14T06:39:24.978Z,100,100,100,100,241,420,890,0,0.002063932774278615,420,0.2 s,0.4 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/industries/data-centres,mobile,https://b2bindustrial.in/industries/data-centres,2026-07-14T06:39:42.420Z,100,100,100,100,902,1352,2544,0,0,1352,0.9 s,1.4 s,2.5 s,0 ms,0,success,
https://b2bindustrial.in/industries/data-centres,desktop,https://b2bindustrial.in/industries/data-centres,2026-07-14T06:39:56.638Z,100,100,100,100,284,354,820,0,0,354,0.3 s,0.4 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/industries/,mobile,https://b2bindustrial.in/industries/,2026-07-14T06:40:15.272Z,100,100,100,100,919,1519,2495,0,0,1519,0.9 s,1.5 s,2.5 s,0 ms,0,success,
https://b2bindustrial.in/industries/,desktop,https://b2bindustrial.in/industries/,2026-07-14T06:40:29.065Z,100,100,100,100,242,370,1061,0,0.002063932774278615,370,0.2 s,0.4 s,1.1 s,0 ms,0.002,success,
https://b2bindustrial.in/industries/manufacturing,mobile,https://b2bindustrial.in/industries/manufacturing,2026-07-14T06:40:43.728Z,100,100,100,100,902,1511,2620,0,0,1511,0.9 s,1.5 s,2.6 s,0 ms,0,success,
https://b2bindustrial.in/industries/manufacturing,desktop,https://b2bindustrial.in/industries/manufacturing,2026-07-14T06:40:57.946Z,100,100,100,100,260,380,1054,0,0,380,0.3 s,0.4 s,1.1 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-electrical-audit,mobile,https://b2bindustrial.in/locations/ahmedabad-electrical-audit,2026-07-14T06:41:12.441Z,100,100,100,100,902,1052,2054,0,0,1052,0.9 s,1.1 s,2.1 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-electrical-audit,desktop,https://b2bindustrial.in/locations/ahmedabad-electrical-audit,2026-07-14T06:41:26.648Z,100,100,100,100,241,244,795,0,0.002362586686856879,244,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/ahmedabad-energy-audit,mobile,https://b2bindustrial.in/locations/ahmedabad-energy-audit,2026-07-14T06:41:41.653Z,100,100,100,100,901,1201,1926,0,0,1201,0.9 s,1.2 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-energy-audit,desktop,https://b2bindustrial.in/locations/ahmedabad-energy-audit,2026-07-14T06:41:55.186Z,100,100,100,100,241,289,916,0,0.002362586686856879,289,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/ahmedabad-environmental-audit,mobile,https://b2bindustrial.in/locations/ahmedabad-environmental-audit,2026-07-14T06:42:09.327Z,100,100,100,100,928,1228,2455,0,0,1228,0.9 s,1.2 s,2.5 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-environmental-audit,desktop,https://b2bindustrial.in/locations/ahmedabad-environmental-audit,2026-07-14T06:42:23.826Z,100,100,100,100,241,241,823,0,0.002362586686856879,241,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/ahmedabad-fire-safety-audit,mobile,https://b2bindustrial.in/locations/ahmedabad-fire-safety-audit,2026-07-14T06:42:38.816Z,100,100,100,100,932,1232,2319,0,0,1232,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-fire-safety-audit,desktop,https://b2bindustrial.in/locations/ahmedabad-fire-safety-audit,2026-07-14T06:42:53.528Z,100,100,100,100,289,365,1067,0,0,365,0.3 s,0.4 s,1.1 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-hse-audit,mobile,https://b2bindustrial.in/locations/ahmedabad-hse-audit,2026-07-14T06:43:10.093Z,100,100,100,100,901,1213,2294,0,0,1213,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/locations/ahmedabad-hse-audit,desktop,https://b2bindustrial.in/locations/ahmedabad-hse-audit,2026-07-14T06:43:27.213Z,100,100,100,100,255,295,947,0,0,295,0.3 s,0.3 s,0.9 s,0 ms,0,success,
https://b2bindustrial.in/locations/bangalore-electrical-audit,mobile,https://b2bindustrial.in/locations/bangalore-electrical-audit,2026-07-14T06:43:40.167Z,100,100,100,100,901,1213,2409,0,0,1213,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/locations/bangalore-electrical-audit,desktop,https://b2bindustrial.in/locations/bangalore-electrical-audit,2026-07-14T06:43:54.929Z,100,100,100,100,241,241,812,0,0.002362586686856879,241,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/bangalore-energy-audit,mobile,https://b2bindustrial.in/locations/bangalore-energy-audit,2026-07-14T06:44:10.142Z,100,100,100,100,925,1225,2174,0,0,1225,0.9 s,1.2 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/locations/bangalore-energy-audit,desktop,https://b2bindustrial.in/locations/bangalore-energy-audit,2026-07-14T06:44:25.164Z,100,100,100,100,242,286,950,0,0.002362586686856879,286,0.2 s,0.3 s,1.0 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/bangalore-environmental-audit,mobile,https://b2bindustrial.in/locations/bangalore-environmental-audit,2026-07-14T06:44:39.266Z,100,100,100,100,902,908,1898,0,0,908,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/locations/bangalore-environmental-audit,desktop,https://b2bindustrial.in/locations/bangalore-environmental-audit,2026-07-14T06:44:53.412Z,100,100,100,100,241,241,779,0,0.002362586686856879,241,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/bangalore-fire-safety-audit,mobile,https://b2bindustrial.in/locations/bangalore-fire-safety-audit,2026-07-14T06:45:08.720Z,100,100,100,100,901,901,1469,0,0,901,0.9 s,0.9 s,1.5 s,0 ms,0,success,
https://b2bindustrial.in/locations/bangalore-fire-safety-audit,desktop,https://b2bindustrial.in/locations/bangalore-fire-safety-audit,2026-07-14T06:45:22.044Z,100,100,100,100,242,242,694,0,0.002362586686856879,242,0.2 s,0.2 s,0.7 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/bangalore-hse-audit,mobile,https://b2bindustrial.in/locations/bangalore-hse-audit,2026-07-14T06:45:34.083Z,100,100,100,100,902,902,1752,0,0,902,0.9 s,0.9 s,1.8 s,0 ms,0,success,
https://b2bindustrial.in/locations/bangalore-hse-audit,desktop,https://b2bindustrial.in/locations/bangalore-hse-audit,2026-07-14T06:45:46.782Z,100,100,100,100,250,250,772,0,0,250,0.3 s,0.3 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/locations/chennai-electrical-audit,mobile,https://b2bindustrial.in/locations/chennai-electrical-audit,2026-07-14T06:45:59.416Z,100,100,100,100,901,1207,2391,0,0,1207,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/locations/chennai-electrical-audit,desktop,https://b2bindustrial.in/locations/chennai-electrical-audit,2026-07-14T06:46:13.894Z,100,100,100,100,241,241,772,0,0.002362586686856879,241,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/chennai-energy-audit,mobile,https://b2bindustrial.in/locations/chennai-energy-audit,2026-07-14T06:46:28.709Z,100,100,100,100,928,1228,2246,0,0,1228,0.9 s,1.2 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/locations/chennai-energy-audit,desktop,https://b2bindustrial.in/locations/chennai-energy-audit,2026-07-14T06:46:42.981Z,100,100,100,100,241,325,766,0,0.002362586686856879,325,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/chennai-environmental-audit,mobile,https://b2bindustrial.in/locations/chennai-environmental-audit,2026-07-14T06:46:58.458Z,98,100,100,100,920,1220,4024,0,0,1220,0.9 s,1.2 s,4.0 s,0 ms,0,success,
https://b2bindustrial.in/locations/chennai-environmental-audit,desktop,https://b2bindustrial.in/locations/chennai-environmental-audit,2026-07-14T06:47:14.785Z,100,100,100,100,241,247,736,0,0.002362586686856879,247,0.2 s,0.2 s,0.7 s,0 ms,0.002,success,
https://b2bindustrial.in/locations/chennai-fire-safety-audit,mobile,https://b2bindustrial.in/locations/chennai-fire-safety-audit,2026-07-14T06:47:29.778Z,98,100,100,100,922,1228,4122,0,0,1228,0.9 s,1.2 s,4.1 s,0 ms,0,success,
https://b2bindustrial.in/locations/chennai-fire-safety-audit,desktop,https://b2bindustrial.in/locations/chennai-fire-safety-audit,2026-07-14T06:47:45.925Z,100,100,100,100,242,242,770,0,0.002362586686856879,242,0.2 s,0.2 s,0.8 s,0 ms,0.002,success,
